stage,trial_index,final_config_rank,replication,eval_seed,objective_value,alpha,gamma,epsilon_decay,epsilon_min,risk_t1,risk_window,label,error,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
stage1_bo,0,,24,336345,56.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,336345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,576,279,140,139,0.4982078853046595,375.6118077874781,206.9246087937379,10.049527712952708,959.9002782261837,149.7635530452347,297,-56.0,22,359,0,104,255,0,0.023754181638360024,1,1,1,1,1,1,1
stage1_bo,0,,25,337345,-282.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,337345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,558,288,162,126,0.4375,337.01415643721043,198.63610696396933,14.850662774973113,971.184709474024,134.83492285531082,270,282.0,26,356,0,134,197,25,0.023754181638360024,1,1,1,1,1,1,1
stage1_bo,0,,26,338345,-963.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,338345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,505,283,194,89,0.31448763250883394,271.335536192954,168.07670228271715,12.619527665270262,585.8950648464725,101.01474452687904,223,963.0,29,358,1,182,154,21,0.023754181638360024,1,1,1,1,1,1,1
stage1_bo,0,,27,339345,-190.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,339345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,556,280,154,126,0.45,334.7861973375722,210.48033022444247,12.971094116126267,1137.122440762825,132.8785693544596,278,190.0,30,358,0,152,194,12,0.023754181638360024,1,1,1,1,1,1,1
stage1_bo,0,,28,340345,-114.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,340345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,570,290,154,136,0.4689655172413793,348.0716449275316,188.88722698301942,11.439374389418877,954.246868657015,135.13095355104335,280,114.0,22,357,35,108,194,20,0.023754181638360024,1,1,1,1,1,1,1
stage1_bo,0,,29,341345,-24.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,341345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,572,286,149,137,0.479020979020979,359.1127481244911,196.27897143576138,12.492307912519305,1068.438343553591,146.04426334596488,287,24.0,32,360,25,84,205,46,0.023754181638360024,1,1,1,1,1,1,1
stage1_bo,1,,0,312345,-528.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,312345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,487,271,167,104,0.3837638376383764,312.53010175811346,183.70137649489698,8.950989732365354,909.783566413669,109.3254777929539,217,528.0,34,350,167,17,159,7,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,1,313345,-207.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,313345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,562,280,155,125,0.44642857142857145,340.3668917224885,207.4910648156235,17.187548032176835,977.8319556049065,135.416784777984,282,207.0,31,357,89,56,145,67,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,2,314345,173.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,314345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,561,276,134,142,0.5144927536231884,376.15452162441665,236.6178152102155,12.633594345573625,1040.3025863529901,148.05837788147468,286,-173.0,31,359,53,64,70,172,0.17218870266340675,1,1,1,1,1,1,1
stage1_bo,1,,3,315345,-274.0,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,,,,,,,,315345,1440,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,526,288,161,127,0.4409722222222222,329.9498616400358,201.33873184357856,11.067006805049784,659.8371597517523,124.84367175576061,239,274.0,22,359,16,103,143,97,0.17218870266340675,1,1,1,1,1,1,1
