label,error,replication,eval_seed,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t1,risk_window,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
,,,,28,,,18,-11195.0,240345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2752,1404,117,1287,0.9166666666666666,1750.7613279312004,985.025782094696,13.491593196527495,4600.026010445098,680.9557922194334,1348,-12135.0,145,1796,421,484,451,440,0.8690529955452602,1,1,1,1,1,1,1
,,,,29,,,18,-11195.0,241345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2793,1405,156,1249,0.8889679715302491,1739.7996865982582,1031.2465833022352,17.579996288252673,4137.487650312483,691.5416577614375,1388,-11410.0,160,1808,434,498,461,415,0.8647077305675338,1,1,1,1,1,1,1
,,,,30,,,18,-11195.0,242345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2833,1409,156,1253,0.8892831795599716,1774.1187796627014,1027.6805477345397,19.366452882155006,4155.396014167989,699.3188146201638,1424,-11507.0,179,1803,466,470,453,414,0.8603841919146962,1,1,1,1,1,1,1
,,,,31,,,18,-11195.0,243345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2808,1424,173,1251,0.8785112359550562,1726.8870919004407,1032.0351476088913,12.92857461238317,4047.0214689159534,685.6713372243669,1384,-11254.0,158,1791,446,478,411,456,0.8560822709551227,1,1,1,1,1,1,1
,,,,32,,,18,-11195.0,244345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2807,1397,131,1266,0.9062276306370795,1827.6035450932243,1045.7006899586881,8.95165207370905,4232.7117142271745,721.3905377830782,1411,-11863.0,171,1805,472,417,475,441,0.851801859600347,1,1,1,1,1,1,1
,,,,33,,,18,-11195.0,245345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2783,1401,132,1269,0.9057815845824411,1861.3577938701699,1073.0806032691796,12.242182276382453,4625.828014669858,715.7881959166518,1383,-11898.0,176,1797,445,450,459,443,0.8475428503023453,1,1,1,1,1,1,1
,,,,34,,,18,-11195.0,246345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2780,1413,153,1260,0.89171974522293,1727.7851866203157,1018.5339701751291,11.364374279214157,4579.772674892223,676.8930961025959,1367,-11532.0,154,1801,468,420,457,456,0.8433051360508336,1,1,1,1,1,1,1
,,,,35,,,18,-11195.0,247345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2778,1430,117,1313,0.9181818181818182,1690.5396407071469,971.9124525842411,9.832390427471468,4359.37125079398,653.039680691525,1349,-12413.0,151,1791,464,433,468,426,0.8390886103705794,1,1,1,1,1,1,1
,,,,36,,,18,-11195.0,248345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2894,1429,123,1306,0.913925822253324,1865.4552186400713,1047.7557799952215,15.659879779793844,4651.283216827781,745.1256270247707,1466,-12280.0,150,1802,450,441,514,397,0.8348931673187264,1,1,1,1,1,1,1
,,,,37,,,18,-11195.0,249345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2835,1414,128,1286,0.9094766619519095,1800.6983424196649,1021.9369598487835,17.66418014956022,4517.608552859363,706.5059845211247,1423,-12045.0,155,1793,445,416,494,438,0.8307187014821328,1,1,1,1,1,1,1
,,,,38,,,18,-11195.0,250345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2795,1434,123,1311,0.9142259414225942,1787.7828423952874,1001.9256799159992,18.440572792504724,4051.685135131609,689.8956139947206,1362,-12396.0,172,1797,431,489,414,463,0.8265651079747222,1,1,1,1,1,1,1
,,,,39,,,18,-11195.0,251345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2783,1395,137,1258,0.9017921146953405,1822.764005094599,1038.43581209393,17.59358308340599,4262.162202185931,715.9555764460015,1388,-11726.0,172,1802,458,431,450,463,0.8224322824348486,1,1,1,1,1,1,1
,,,,40,,,18,-11195.0,252345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2711,1426,150,1276,0.8948106591865358,1763.4818401836962,1041.2860280666837,11.189216817558755,4048.946161668375,670.3048232391822,1286,-11713.0,151,1788,451,433,444,460,0.8183201210226743,1,1,1,1,1,1,1
,,,,41,,,18,-11195.0,253345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2827,1422,147,1275,0.8966244725738397,1847.0240011235426,1063.0273760201985,13.109233404056688,4554.264890889057,718.9387544686762,1405,-11730.0,150,1800,416,448,476,460,0.8142285204175609,1,1,1,1,1,1,1
,,,,42,,,18,-11195.0,254345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2756,1404,129,1275,0.9081196581196581,1826.5708405373537,1064.1020920128258,10.265701573260575,4515.852121617674,698.086173015083,1352,-11988.0,176,1790,434,458,447,451,0.810157377815473,1,1,1,1,1,1,1
,,,,43,,,18,-11195.0,255345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2900,1430,135,1295,0.9055944055944056,1795.4917033242232,1062.6560746393627,14.100763811382583,4199.8732749750925,731.8694480827651,1471,-11981.0,127,1789,461,486,404,438,0.8061065909263957,1,1,1,1,1,1,1
