method,run_index,final_best_objective,objective_mean,objective_std,n_valid_replications,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,n_orders_completed_mean,n_orders_in_date_mean,n_orders_late_mean,n_orders_created_mean,n_orders_incomplete_mean,late_order_fraction_mean,time_in_system_mean_mean,time_in_system_std_mean,wip_time_in_system_mean_mean,wip_time_in_system_std_mean,wip_time_in_system_min_mean,wip_time_in_system_max_mean,wip_mean_mean,work_in_progress_mean_mean,completed_norm_mean,late_total_norm_mean,on_time_loss_norm_mean,station_capacity_norm_mean,worker_capacity_norm_mean,time_in_system_mean_norm_mean,time_in_system_std_norm_mean,objective_completed_contribution_mean,objective_late_contribution_mean,objective_station_capacity_contribution_mean,objective_worker_capacity_contribution_mean,objective_time_mean_contribution_mean,objective_time_std_contribution_mean
random_search,0,1.621242651051226,1.9573109183689383,0.0736345607658101,30,2,4,1,1,1,3,4,133.03333333333333,94.73333333333332,38.3,998.6,865.5666666666667,0.1519916377153118,177.5139116359104,93.19546572075444,623.6567630932457,361.8525660234691,1.287982102547024,1255.9653825302998,403.88523587038304,403.88523587038304,0.1337824980520039,0.904454724697938,0.904454724697938,0.25,0.3333333333333334,0.49309419898864,0.2588762936687622,-0.0468238743182013,0.7235637797583507,0.75,0.3333333333333334,0.197237679595456,0.0
random_search,1,1.7450109329194032,1.993790100683113,0.0310817110153578,30,1,1,4,2,2,1,3,320.06666666666666,113.5,206.56666666666663,998.7666666666668,678.7,0.6455005903372876,494.9301114101477,276.6262077823088,484.8778486077255,281.94933301479404,1.4298796856369032,976.568830516402,338.7001997313579,338.7001997313579,0.3207441952271759,0.8861325009739087,0.8861325009739086,0.2083333333333333,0.2222222222222222,1.3748058650281882,0.7684061327286354,-0.1122604683295115,0.7089060007791268,0.625,0.2222222222222222,0.5499223460112752,0.0
random_search,2,1.7663205488685445,1.8705906624029107,0.1368341890360419,30,4,1,2,2,1,2,1,214.16666666666663,83.6,130.56666666666666,989.5666666666668,775.4,0.5133690043282916,417.7879152955473,231.08372133587028,564.9358241209235,327.0208191067862,1.8554477690068856,1137.3532152140683,380.0978452893327,380.0978452893327,0.2167637419768475,0.9153114716524716,0.9153114716524714,0.25,0.0,1.1605219869320758,0.6418992259329729,-0.0758673096918966,0.7322491773219771,0.75,0.0,0.4642087947728303,0.0
random_search,3,1.7841381137442105,3.061874716431943,0.0326878857948405,30,5,1,1,2,2,5,7,318.4,113.06666666666666,205.33333333333331,989.3666666666668,670.9666666666667,0.6449637030696876,494.6270367739379,272.1675458913183,484.6768456890529,279.7163051915212,1.2224005991287563,969.5745276779376,335.54211531733364,335.54211531733364,0.3221787336489103,0.8854812626586356,0.8854812626586356,0.4166666666666666,0.6666666666666669,1.3739639910387162,0.7560209608092177,-0.1127625567771186,0.7083850101269086,1.25,0.6666666666666669,0.5495855964154865,0.0
random_search,4,1.913466447489659,2.2889219828592977,0.0626517288775859,30,4,3,4,2,5,5,4,917.3333333333334,917.3333333333334,0.0,1003.2666666666668,85.93333333333334,0.0,75.03085167041583,32.37521385889198,63.15256375091979,36.58469057752119,1.0854578056886264,130.62277190986208,52.14615071724864,52.14615071724864,0.915459968209708,0.0845400317902918,0.0845400317902918,0.7083333333333331,0.3333333333333334,0.2084190324178217,0.0899311496080333,-0.3204109888733979,0.0676320254322335,2.125,0.3333333333333334,0.0833676129671287,0.0
random_search,5,1.8579911118686567,3.376451152161258,0.0816724310686379,30,1,5,5,5,5,5,6,709.3666666666667,589.8666666666667,119.5,999.1333333333332,289.76666666666665,0.1684689184107811,218.9012926383238,113.7597223961684,208.6441402006106,118.45977175538506,1.661945554944388,415.5123297652331,150.17147221848217,150.17147221848217,0.7106257087607897,0.4079886702311904,0.4079886702311904,0.8333333333333331,0.5555555555555556,0.6080591462175658,0.3159992288782458,-0.2487189980662763,0.3263909361849524,2.5,0.5555555555555556,0.2432236584870264,0.0
random_search,6,1.697451500339492,2.26059106708378,0.0259595819941985,30,1,1,5,4,1,2,2,318.6666666666667,113.8,204.86666666666667,998.0,679.3333333333334,0.6428513369603228,497.4082980170359,278.51794596107936,492.859127346958,283.61546039070925,1.7874090113367551,978.9217360314268,342.7068635485902,342.7068635485902,0.3196308689753167,0.8858435917855423,0.8858435917855423,0.3333333333333334,0.1111111111111111,1.3816897167139883,0.7736609610029982,-0.1118708041413608,0.7086748734284339,1.0,0.1111111111111111,0.5526758866855954,0.0
random_search,7,1.9182245036961296,3.09267709001469,0.0622464621215684,30,5,2,5,3,4,5,2,522.7333333333333,295.96666666666664,226.76666666666668,997.8333333333334,475.1,0.4223036421602488,317.5856200834345,173.00138795815428,338.7338121681753,196.44891695703737,1.2311353867078652,691.2485634025171,231.94638600699216,231.94638600699216,0.5241352481814547,0.7026755057040902,0.7026755057040902,0.75,0.1111111111111111,0.8821822780095402,0.4805594109948729,-0.1834473368635091,0.5621404045632723,2.25,0.1111111111111111,0.352872911203816,0.0
random_search,8,1.971033792714984,2.968822755172113,0.0587682698491445,30,4,4,3,5,5,2,2,537.8,300.06666666666666,237.7333333333333,1003.4,465.6,0.4337635559208907,324.0980923634655,176.9874134878266,330.8007363974596,190.3505647528072,1.4567981576711948,664.0309865824078,231.6101538367052,231.6101538367052,0.5364457508800279,0.7004483316925626,0.7004483316925626,0.7083333333333331,0.1111111111111111,0.9002724787874045,0.4916317041328517,-0.1877560128080097,0.5603586653540499,2.125,0.1111111111111111,0.3601089915149618,0.0
random_search,9,1.7173506765186095,3.2974368928181623,0.0284973662515092,30,3,1,5,4,2,2,8,321.3,115.73333333333332,205.56666666666663,1006.2666666666668,684.9666666666667,0.6399066869151738,493.8259616025644,276.9255950733642,488.3618322262051,282.8206027504247,1.6606521407720038,974.5138786203504,342.7330346165987,342.7330346165987,0.3196394894324946,0.884796779312524,0.884796779312524,0.4583333333333334,0.777777777777778,1.3717387822293456,0.7692377640926782,-0.111873821301373,0.7078374234500192,1.375,0.777777777777778,0.5486955128917383,0.0
