method,run_index,final_best_objective,objective_mean,objective_std,n_valid_replications,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,n_orders_completed_mean,n_orders_in_date_mean,n_orders_late_mean,n_orders_created_mean,n_orders_incomplete_mean,late_order_fraction_mean,time_in_system_mean_mean,time_in_system_std_mean,wip_time_in_system_mean_mean,wip_time_in_system_std_mean,wip_time_in_system_min_mean,wip_time_in_system_max_mean,wip_mean_mean,work_in_progress_mean_mean,completed_norm_mean,late_total_norm_mean,on_time_loss_norm_mean,station_capacity_norm_mean,worker_capacity_norm_mean,time_in_system_mean_norm_mean,time_in_system_std_norm_mean,objective_completed_contribution_mean,objective_late_contribution_mean,objective_station_capacity_contribution_mean,objective_worker_capacity_contribution_mean,objective_time_mean_contribution_mean,objective_time_std_contribution_mean
bo,10,-0.1447682899167399,0.3104078608806718,0.1214226026750387,30,4,3,5,5,5,1,8,914.9666666666668,914.9666666666668,0.0,1011.3,96.33333333333331,0.0,83.62614608436631,36.0279557524576,70.30003440129286,40.40781685032496,1.2146869911331806,146.13228946289442,58.176268193089214,58.176268193089214,0.9053497420254892,0.0946502579745106,0.0946502579745106,0.7083333333333331,0.777777777777778,0.2322948502343508,0.1000776548679377,-0.9053497420254892,0.2839507739235318,0.5666666666666667,0.2722222222222222,0.0929179400937403,0.0
bo,11,-0.1529660664834701,-0.0692948966750246,0.3903313159936949,30,4,4,4,5,5,1,4,942.4666666666668,942.4666666666668,0.0,996.7,54.23333333333333,0.0,28.243296576063315,10.037807380685008,39.426469170581946,24.03182710464381,1.3769250293601014,86.20911279911464,24.379932865069197,24.379932865069197,0.9460024176621072,0.0539975823378928,0.0539975823378929,0.7083333333333331,0.3333333333333334,0.0784536016001758,0.0278827982796805,-0.9460024176621072,0.1619927470136786,0.5666666666666667,0.1166666666666666,0.0313814406400703,0.0
bo,12,-0.1451973958939447,-0.0575986102193943,0.024505068740476,30,3,4,5,5,4,1,9,983.5666666666668,983.5666666666668,0.0,1001.5666666666668,18.0,0.0,23.51409964133826,6.8344908171462215,13.729228563889285,8.541382484332086,1.4407558596301897,31.38256085696108,16.263464239292585,16.263464239292585,0.9820424580107756,0.0179575419892241,0.0179575419892241,0.6666666666666669,0.888888888888889,0.0653169434481618,0.018984696714295,-0.9820424580107756,0.0538726259676724,0.5333333333333333,0.3111111111111111,0.0261267773792647,0.0
bo,13,-0.215156293862946,-0.1007949301164068,0.2694777075191819,30,4,5,4,3,5,1,7,968.1333333333332,968.1333333333332,0.0,995.1666666666666,27.03333333333333,0.0,22.89151791105845,6.631739624107408,21.163820229679224,12.6079439790075,1.869632816512452,44.90608554384929,18.109957234538506,18.109957234538506,0.9732241541710624,0.0267758458289376,0.0267758458289376,0.6666666666666669,0.6666666666666669,0.0635875497529401,0.0184214989558539,-0.9732241541710624,0.0803275374868127,0.5333333333333333,0.2333333333333333,0.025435019901176,0.0
bo,14,-0.031330991751031,-0.0181031536880643,0.4199217404847253,30,3,5,5,1,5,1,7,939.8666666666668,939.8666666666668,0.0,1000.1666666666666,60.3,0.0,40.725013190389454,16.26772189102214,44.3930232101784,27.03601556436566,1.2625771069459006,98.61775110306856,33.757728901077776,33.757728901077776,0.940838292086013,0.0591617079139868,0.0591617079139868,0.5833333333333334,0.6666666666666669,0.1131250366399707,0.0451881163639503,-0.940838292086013,0.1774851237419605,0.4666666666666667,0.2333333333333333,0.0452500146559882,0.0
bo,15,-0.162459741001393,-0.162459741001393,0.1035874252063948,30,4,4,4,1,5,1,6,960.6666666666666,960.6666666666666,0.0,1000.4333333333332,39.766666666666666,0.0,47.76819664782788,18.214447058291626,29.32625339785414,17.19205813973854,1.9339475324535824,63.08361105045357,33.004950908488134,33.004950908488134,0.9608283232080784,0.0391716767919217,0.0391716767919217,0.5416666666666665,0.5555555555555556,0.1326894351328552,0.0505956862730322,-0.9608283232080784,0.1175150303757653,0.4333333333333334,0.1944444444444445,0.0530757740531421,0.0
bo,16,-0.1210565503108884,0.0011759021066934,0.0600693600766045,30,3,5,4,4,5,4,8,983.8,983.8,0.0,1001.3666666666668,17.566666666666666,0.0,23.15653764002511,6.991145020816959,13.321574863280604,8.517138939522464,1.4671026518358228,29.693886734868208,16.09709561104087,16.09709561104087,0.9825272849288892,0.0174727150711108,0.0174727150711108,0.7916666666666669,0.777777777777778,0.0643237156667364,0.0194198472800471,-0.9825272849288892,0.0524181452133325,0.6333333333333332,0.2722222222222222,0.0257294862666945,0.0
bo,17,-0.1780511099921783,-0.1780511099921783,0.0189451739366671,30,4,5,4,4,4,1,6,971.0333333333332,971.0333333333332,0.0,988.1,17.066666666666666,0.0,22.610387135006214,6.497289775622317,12.89073329721486,7.819481084699286,1.6660994056993783,29.14247225849941,15.414554163802652,15.414554163802652,0.9827378850355464,0.0172621149644536,0.0172621149644536,0.6666666666666669,0.5555555555555556,0.0628066309305728,0.0180480271545064,-0.9827378850355464,0.051786344893361,0.5333333333333333,0.1944444444444445,0.0251226523722291,0.0
bo,18,-0.0345693821360159,0.6344568929808438,1.1933171727881338,30,5,5,4,5,3,1,9,807.4666666666667,807.4666666666667,0.0,993.0,185.53333333333333,0.0,23.064076588706502,6.705220933462939,134.79288107938217,77.49475599386646,1.1702051709012269,275.35876936505804,75.22831753491064,75.22831753491064,0.8172369091405408,0.1827630908594591,0.1827630908594592,0.7083333333333331,0.888888888888889,0.0640668794130736,0.0186256137040637,-0.8172369091405408,0.5482892725783776,0.5666666666666667,0.3111111111111111,0.0256267517652294,0.0
bo,19,-0.0909047572772576,-0.0625265183316978,0.0206236128354278,30,3,4,4,5,5,1,9,983.5,983.5,0.0,1000.1666666666666,16.666666666666668,0.0,23.871596754160706,7.336935867241996,12.974712851429471,8.437022065074478,1.411452247373821,30.137829067842624,16.47086073762977,16.47086073762977,0.9833737397924136,0.0166262602075864,0.0166262602075864,0.6666666666666669,0.888888888888889,0.0663099909837797,0.0203803774090055,-0.9833737397924136,0.0498787806227594,0.5333333333333333,0.3111111111111111,0.0265239963935118,0.0
